Full Name,Date of Birth,Date of Death,Nationality,Home City,Occupation,Employer
Aaron Adams,10/02/1920,,Estonia,Tallinn,Professor,"Carroll, Flatley and Kuhn"
Aaron Alexander,04/27/1982,,Poland,Rudnik,Nurse,Dietrich-Howe
Aaron Allen,01/17/1986,,Indonesia,Kebonsari Kidul,Information Systems Manager,Schowalter LLC
Aaron Anderson,02/17/1961,,Bahrain,Jidd á¸¨afÅŸ,Environmental Tech,Turcotte-Bogisich
Aaron Andrews,08/02/1918,,Indonesia,Ciparay,Software Engineer I,Smith-Schuster
Aaron Armstrong,09/21/1956,,Indonesia,Karangpeton,Project Manager,Pacocha Group
Aaron Arnold,03/13/1978,,Indonesia,Jiworejo,Accountant III,Erdman Inc
Aaron Austin,08/08/1934,,Poland,Polkowice,Payment Adjustment Coordinator,Gutkowski-Howell
Aaron Bailey,07/25/1987,,Norway,TromsÃ¸,Director of Sales,Gutkowski Inc
Aaron Baker,01/05/1986,,China,Yangxiang,Account Coordinator,McGlynn Group
Aaron Banks,04/29/1967,,Colombia,RÃ_o Viejo,Marketing Manager,"Tromp, Kertzmann and Heaney"
Aaron Bell,06/10/1970,,Portugal,Ferreiros,Senior Financial Analyst,"Gutmann, Stanton and Nolan"
Aaron Bennett,05/21/1937,,Sweden,SÃ¶dertÃ_lje,Electrical Engineer,Mayert Inc
Aaron Berry,01/05/1929,,Philippines,Siaton,Librarian,Quitzon and Sons
Aaron Bishop,05/21/1981,,Finland,SodankylÃ_,Executive Secretary,Schultz-Stark
Aaron Black,10/15/1934,,Democratic Republic of the Congo,Kalemie,Software Consultant,"Beatty, O'Connell and Orn"
Aaron Bowman,07/07/1934,,Brazil,Boa EsperanÃ§a,Biostatistician II,Ondricka and Sons
Aaron Boyd,06/17/1951,,Russia,Shakhty,Administrative Assistant III,Harris-D'Amore
Aaron Bradley,09/13/1932,,Venezuela,Caicara,Engineer III,"Bartoletti, Beer and Leannon"
Aaron Brooks,04/21/1963,,Bosnia and Herzegovina,Derventa,Accounting Assistant IV,Schmitt LLC
Aaron Brown,10/06/1985,,Denmark,KÃ¸benhavn,Senior Quality Engineer,Beahan Inc
Aaron Bryant,10/13/1944,,China,Chunshui,VP Marketing,"Jacobi, Ernser and Bruen"
Aaron Burns,11/07/1949,,Afghanistan,AshkÄÅsham,Cost Accountant,"Wolff, Mosciski and O'Connell"
Aaron Burton,03/23/1959,,Argentina,Gobernador GÃ¡lvez,Research Nurse,"Borer, Purdy and Gorczany"
Aaron Butler,10/15/1980,,France,Caluire-et-Cuire,Accountant IV,"Abbott, Robel and Hahn"
Aaron Campbell,07/26/1965,,France,Lille,General Manager,Dach Inc
Aaron Carpenter,03/21/1952,,United States,Phoenix,VP Sales,Spencer-Wuckert
Aaron Carr,03/12/1962,,Honduras,Arada,Assistant Manager,Kozey LLC
Aaron Carroll,08/17/1964,,Argentina,Sampacho,Programmer Analyst II,Wisoky-Mertz
Aaron Carter,06/09/1939,,El Salvador,Texistepeque,Account Executive,"Mitchell, Roob and Mueller"
Aaron Castillo,06/27/1917,,China,Heqiao,Executive Secretary,Kshlerin LLC
Aaron Chapman,09/05/1966,,Western Sahara,Dakhla,Account Executive,"Rohan, Glover and Abernathy"
Aaron Chavez,05/15/1965,,Georgia,Akhaldaba,Systems Administrator I,"Jacobi, McLaughlin and Hackett"
Aaron Clark,04/04/1932,,Indonesia,Sumberrejo,Engineer II,Harvey-Bauch
Aaron Cole,05/31/1983,,Croatia,Lepoglava,Research Nurse,Ullrich-Maggio
Aaron Coleman,06/06/1934,,Ukraine,Luhansâ€™ke,Physical Therapy Assistant,Kunde-Eichmann
Aaron Cook,06/24/1984,,Dominican Republic,Mao,Staff Scientist,Schumm-Lang
Aaron Cox,10/24/1946,,Pakistan,MÄÅnÄÅnwÄÅla,Computer Systems Analyst I,Metz-Effertz
Aaron Crawford,03/30/1972,08/27/2001,China,Jingzhuang,VP Marketing,"Prohaska, Murray and Boyle"
Aaron Cunningham,03/03/1983,,Indonesia,Wadung,Research Associate,"Mante, Powlowski and Langworth"
Aaron Daniels,08/30/1955,,France,Paris 01,Media Manager II,"Leffler, Stracke and Lubowitz"
Aaron Day,07/25/1967,,China,Jiangdianzi,Senior Sales Associate,Ortiz-Gerlach
Aaron Diaz,12/29/1954,,Russia,Tashla,Director of Sales,Trantow LLC
Aaron Dixon,12/17/1959,,Slovenia,KidriÄçevo,Help Desk Operator,"VonRueden, Pouros and Vandervort"
Aaron Dunn,09/20/1975,,Indonesia,Keputran,VP Marketing,Orn Inc
